asset_relative_path,target_page_url,confidence,score,mapping_rationale
IKC Certificates/IKC Certificates_unzipped/Bar Bombon 2025 updated.pdf,https://www.mekorhabracha.org/post/bar-bombon,high,0.67,"Filename token match to post slug ""bar-bombon""."
IKC Certificates/IKC Certificates_unzipped/Center_City_South_Philly_Eruv_Update.pdf,https://www.mekorhabracha.org/post/rita-s-south-street-west,medium,0.25,"Filename token match to post slug ""rita-s-south-street-west""."
IKC Certificates/IKC Certificates_unzipped/Charlie 2025 Certificate updated.pdf,https://www.mekorhabracha.org/post/charlie-was-a-sinner,medium,0.33,"Filename token match to post slug ""charlie-was-a-sinner""."
"IKC Certificates/IKC Certificates_unzipped/Fitz on 4th 2025, updated.pdf",https://www.mekorhabracha.org/post/fitz-on-4th,high,0.67,"Filename token match to post slug ""fitz-on-4th""."
IKC Certificates/IKC Certificates_unzipped/LUHV Factory & Vegan.pdf,https://www.mekorhabracha.org/post/luhv-factory-vegan-bistro,high,0.75,"Filename token match to post slug ""luhv-factory-vegan-bistro""."
IKC Certificates/IKC Certificates_unzipped/LUHV's VEGAN BISTRO-S. Philly.pdf,https://www.mekorhabracha.org/post/luhv-factory-vegan-bistro,high,0.75,"Filename token match to post slug ""luhv-factory-vegan-bistro""."
IKC Certificates/IKC Certificates_unzipped/Luhv - N York.pdf,https://www.mekorhabracha.org/post/_luhv,high,0.50,"Filename token match to post slug ""_luhv""."
IKC Certificates/IKC Certificates_unzipped/Luhv Vegan Bistro.pdf,https://www.mekorhabracha.org/post/luhv-factory-vegan-bistro,high,0.75,"Filename token match to post slug ""luhv-factory-vegan-bistro""."
IKC Certificates/IKC Certificates_unzipped/Magical Sweet Shop.pdf,https://www.mekorhabracha.org/post/magical-sweet-shop,high,1.00,"Filename token match to post slug ""magical-sweet-shop""."
IKC Certificates/IKC Certificates_unzipped/PLNT Burger .pdf,https://www.mekorhabracha.org/post/plnt-burger,high,1.00,"Filename token match to post slug ""plnt-burger""."
IKC Certificates/IKC Certificates_unzipped/She say Ate Cafe.pdf,https://www.mekorhabracha.org/post/say-she-ate-café,high,0.75,"Filename token match to post slug ""say-she-ate-café""."
IKC Certificates/IKC Certificates_unzipped/Sweet Box.pdf,https://www.mekorhabracha.org/post/sweet-box-bakery,high,0.67,"Filename token match to post slug ""sweet-box-bakery""."
IKC Certificates/IKC Certificates_unzipped/Unit Su Vege​.pdf,https://www.mekorhabracha.org/post/unit-su-vege,high,1.00,"Filename token match to post slug ""unit-su-vege""."
IKC Certificates/IKC Certificates_unzipped/Zevi's Bakery IKC certificate 2026.pdf,https://www.mekorhabracha.org/post/zevi-s-bakery,high,0.50,"Filename token match to post slug ""zevi-s-bakery""."
IKC Certificates/IKC Certificates_unzipped/bar_bombon_2024 (1) (1) (1).pdf,https://www.mekorhabracha.org/post/bar-bombon,high,0.67,"Filename token match to post slug ""bar-bombon""."
IKC Certificates/IKC Certificates_unzipped/bar_bombon_2024 (1).pdf,https://www.mekorhabracha.org/post/bar-bombon,high,0.67,"Filename token match to post slug ""bar-bombon""."
IKC Certificates/IKC Certificates_unzipped/ben_jerryscertificate_-w.philly_2024 (1) (1) (1).pdf,https://www.mekorhabracha.org/post/ben-jerry-s-ice-cream,medium,0.25,"Filename token match to post slug ""ben-jerry-s-ice-cream""."
IKC Certificates/IKC Certificates_unzipped/ben_jerryscertificate_-w.philly_2024 (1).pdf,https://www.mekorhabracha.org/post/ben-jerry-s-ice-cream,medium,0.25,"Filename token match to post slug ""ben-jerry-s-ice-cream""."
IKC Certificates/IKC Certificates_unzipped/charlie_2024_certificate (1) (1).pdf,https://www.mekorhabracha.org/post/charlie-was-a-sinner,medium,0.33,"Filename token match to post slug ""charlie-was-a-sinner""."
IKC Certificates/IKC Certificates_unzipped/charlie_2024_certificate.pdf,https://www.mekorhabracha.org/post/charlie-was-a-sinner,medium,0.33,"Filename token match to post slug ""charlie-was-a-sinner""."
IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1) (1) (1).pdf,https://www.mekorhabracha.org/post/fitz-on-4th,high,0.67,"Filename token match to post slug ""fitz-on-4th""."
IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1).pdf,https://www.mekorhabracha.org/post/fitz-on-4th,high,0.67,"Filename token match to post slug ""fitz-on-4th""."
IKC Certificates/IKC Certificates_unzipped/goldie 5 locations.pdf,https://www.mekorhabracha.org/post/goldie,high,0.50,"Filename token match to post slug ""goldie""."
IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024 (1) (1).pdf,https://www.mekorhabracha.org/post/goldie,medium,0.33,"Filename token match to post slug ""goldie""."
IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024.pdf,https://www.mekorhabracha.org/post/goldie,medium,0.33,"Filename token match to post slug ""goldie""."
IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1) (1) (1).pdf,https://www.mekorhabracha.org/post/joy-cafe,high,0.67,"Filename token match to post slug ""joy-cafe""."
